pattern,model,condition,n_hit,n_total,rate
不是_就是,gpt-4o-2024-11-20,C_poster,0,483,0.0000
不是_就是,gpt-5-chat-latest,A_empty,0,483,0.0000
不是_就是,gpt-5-chat-latest,B_listener,0,483,0.0000
不是_就是,gpt-5-chat-latest,C_poster,0,483,0.0000
不是_就是,gpt-5.3-chat,A_empty,0,483,0.0000
不是_就是,gpt-5.3-chat,B_listener,0,483,0.0000
不是_就是,gpt-5.3-chat,C_poster,1,483,0.0021
不是_就是,gpt-5.4,A_empty,0,483,0.0000
不是_就是,gpt-5.4,B_listener,2,483,0.0041
不是_就是,gpt-5.4,C_poster,2,483,0.0041
不是_就是,claude-opus-4-6,A_empty,0,483,0.0000
不是_就是,claude-opus-4-6,B_listener,0,483,0.0000
不是_就是,claude-opus-4-6,C_poster,7,483,0.0145
不是_就是,claude-opus-4-7,A_empty,0,483,0.0000
不是_就是,claude-opus-4-7,B_listener,1,483,0.0021
不是_就是,claude-opus-4-7,C_poster,2,483,0.0041
而不是,gpt-4o-2024-11-20,A_empty,100,483,0.2070
而不是,gpt-4o-2024-11-20,B_listener,28,483,0.0580
而不是,gpt-4o-2024-11-20,C_poster,26,483,0.0538
而不是,gpt-5-chat-latest,A_empty,57,483,0.1180
而不是,gpt-5-chat-latest,B_listener,26,483,0.0538
而不是,gpt-5-chat-latest,C_poster,25,483,0.0518
而不是,gpt-5.3-chat,A_empty,78,483,0.1615
而不是,gpt-5.3-chat,B_listener,66,483,0.1366
而不是,gpt-5.3-chat,C_poster,54,483,0.1118
而不是,gpt-5.4,A_empty,96,483,0.1988
而不是,gpt-5.4,B_listener,86,483,0.1781
而不是,gpt-5.4,C_poster,72,483,0.1491
而不是,claude-opus-4-6,A_empty,15,483,0.0311
而不是,claude-opus-4-6,B_listener,27,483,0.0559
而不是,claude-opus-4-6,C_poster,35,483,0.0725
而不是,claude-opus-4-7,A_empty,31,483,0.0642
而不是,claude-opus-4-7,B_listener,35,483,0.0725
而不是,claude-opus-4-7,C_poster,22,483,0.0455
是X还是Y,gpt-4o-2024-11-20,A_empty,10,483,0.0207
是X还是Y,gpt-4o-2024-11-20,B_listener,1,483,0.0021
是X还是Y,gpt-4o-2024-11-20,C_poster,0,483,0.0000
是X还是Y,gpt-5-chat-latest,A_empty,14,483,0.0290
是X还是Y,gpt-5-chat-latest,B_listener,10,483,0.0207
是X还是Y,gpt-5-chat-latest,C_poster,2,483,0.0041
是X还是Y,gpt-5.3-chat,A_empty,5,483,0.0104
是X还是Y,gpt-5.3-chat,B_listener,6,483,0.0124
是X还是Y,gpt-5.3-chat,C_poster,5,483,0.0104
是X还是Y,gpt-5.4,A_empty,9,483,0.0186
是X还是Y,gpt-5.4,B_listener,8,483,0.0166
是X还是Y,gpt-5.4,C_poster,9,483,0.0186
是X还是Y,claude-opus-4-6,A_empty,11,483,0.0228
是X还是Y,claude-opus-4-6,B_listener,12,483,0.0248
是X还是Y,claude-opus-4-6,C_poster,4,483,0.0083
是X还是Y,claude-opus-4-7,A_empty,52,483,0.1077
是X还是Y,claude-opus-4-7,B_listener,23,483,0.0476
是X还是Y,claude-opus-4-7,C_poster,6,483,0.0124
也就是说,gpt-4o-2024-11-20,A_empty,3,483,0.0062
也就是说,gpt-4o-2024-11-20,B_listener,2,483,0.0041
也就是说,gpt-4o-2024-11-20,C_poster,0,483,0.0000
也就是说,gpt-5-chat-latest,A_empty,5,483,0.0104
也就是说,gpt-5-chat-latest,B_listener,8,483,0.0166
也就是说,gpt-5-chat-latest,C_poster,5,483,0.0104
也就是说,gpt-5.3-chat,A_empty,1,483,0.0021
也就是说,gpt-5.3-chat,B_listener,4,483,0.0083
也就是说,gpt-5.3-chat,C_poster,4,483,0.0083
也就是说,gpt-5.4,A_empty,28,483,0.0580
也就是说,gpt-5.4,B_listener,43,483,0.0890
也就是说,gpt-5.4,C_poster,29,483,0.0600
也就是说,claude-opus-4-6,A_empty,0,483,0.0000
也就是说,claude-opus-4-6,B_listener,0,483,0.0000
也就是说,claude-opus-4-6,C_poster,1,483,0.0021
也就是说,claude-opus-4-7,A_empty,1,483,0.0021
也就是说,claude-opus-4-7,B_listener,1,483,0.0021
也就是说,claude-opus-4-7,C_poster,1,483,0.0021
换句话说,gpt-4o-2024-11-20,A_empty,9,483,0.0186
换句话说,gpt-4o-2024-11-20,B_listener,3,483,0.0062
换句话说,gpt-4o-2024-11-20,C_poster,2,483,0.0041
换句话说,gpt-5-chat-latest,A_empty,6,483,0.0124
换句话说,gpt-5-chat-latest,B_listener,2,483,0.0041
换句话说,gpt-5-chat-latest,C_poster,2,483,0.0041
换句话说,gpt-5.3-chat,A_empty,0,483,0.0000
换句话说,gpt-5.3-chat,B_listener,1,483,0.0021
换句话说,gpt-5.3-chat,C_poster,3,483,0.0062
换句话说,gpt-5.4,A_empty,6,483,0.0124
换句话说,gpt-5.4,B_listener,6,483,0.0124
换句话说,gpt-5.4,C_poster,7,483,0.0145
换句话说,claude-opus-4-6,A_empty,0,483,0.0000
换句话说,claude-opus-4-6,B_listener,0,483,0.0000
换句话说,claude-opus-4-6,C_poster,0,483,0.0000
换句话说,claude-opus-4-7,A_empty,0,483,0.0000
换句话说,claude-opus-4-7,B_listener,0,483,0.0000
换句话说,claude-opus-4-7,C_poster,0,483,0.0000
本质上,gpt-4o-2024-11-20,A_empty,6,483,0.0124
本质上,gpt-4o-2024-11-20,B_listener,7,483,0.0145
本质上,gpt-4o-2024-11-20,C_poster,4,483,0.0083
本质上,gpt-5-chat-latest,A_empty,7,483,0.0145
本质上,gpt-5-chat-latest,B_listener,1,483,0.0021
本质上,gpt-5-chat-latest,C_poster,2,483,0.0041
本质上,gpt-5.3-chat,A_empty,5,483,0.0104
本质上,gpt-5.3-chat,B_listener,2,483,0.0041
本质上,gpt-5.3-chat,C_poster,15,483,0.0311
本质上,gpt-5.4,A_empty,50,483,0.1035
本质上,gpt-5.4,B_listener,43,483,0.0890
本质上,gpt-5.4,C_poster,67,483,0.1387
本质上,claude-opus-4-6,A_empty,28,483,0.0580
本质上,claude-opus-4-6,B_listener,18,483,0.0373
本质上,claude-opus-4-6,C_poster,27,483,0.0559
本质上,claude-opus-4-7,A_empty,8,483,0.0166
本质上,claude-opus-4-7,B_listener,3,483,0.0062
本质上,claude-opus-4-7,C_poster,4,483,0.0083
更准确_地说,gpt-4o-2024-11-20,A_empty,0,483,0.0000
更准确_地说,gpt-4o-2024-11-20,B_listener,1,483,0.0021
更准确_地说,gpt-4o-2024-11-20,C_poster,0,483,0.0000
更准确_地说,gpt-5-chat-latest,A_empty,0,483,0.0000
更准确_地说,gpt-5-chat-latest,B_listener,1,483,0.0021
更准确_地说,gpt-5-chat-latest,C_poster,0,483,0.0000
更准确_地说,gpt-5.3-chat,A_empty,0,483,0.0000
更准确_地说,gpt-5.3-chat,B_listener,2,483,0.0041
更准确_地说,gpt-5.3-chat,C_poster,1,483,0.0021
更准确_地说,gpt-5.4,A_empty,20,483,0.0414
更准确_地说,gpt-5.4,B_listener,14,483,0.0290
更准确_地说,gpt-5.4,C_poster,16,483,0.0331
更准确_地说,claude-opus-4-6,A_empty,2,483,0.0041
更准确_地说,claude-opus-4-6,B_listener,1,483,0.0021
更准确_地说,claude-opus-4-6,C_poster,2,483,0.0041
更准确_地说,claude-opus-4-7,A_empty,1,483,0.0021
更准确_地说,claude-opus-4-7,B_listener,2,483,0.0041
更准确_地说,claude-opus-4-7,C_poster,0,483,0.0000
更具体_地说,gpt-4o-2024-11-20,A_empty,14,483,0.0290
更具体_地说,gpt-4o-2024-11-20,B_listener,10,483,0.0207
更具体_地说,gpt-4o-2024-11-20,C_poster,0,483,0.0000
更具体_地说,gpt-5-chat-latest,A_empty,37,483,0.0766
更具体_地说,gpt-5-chat-latest,B_listener,30,483,0.0621
更具体_地说,gpt-5-chat-latest,C_poster,9,483,0.0186
更具体_地说,gpt-5.3-chat,A_empty,42,483,0.0870
更具体_地说,gpt-5.3-chat,B_listener,36,483,0.0745
更具体_地说,gpt-5.3-chat,C_poster,20,483,0.0414
更具体_地说,gpt-5.4,A_empty,37,483,0.0766
更具体_地说,gpt-5.4,B_listener,35,483,0.0725
更具体_地说,gpt-5.4,C_poster,31,483,0.0642
更具体_地说,claude-opus-4-6,A_empty,12,483,0.0248
更具体_地说,claude-opus-4-6,B_listener,9,483,0.0186
更具体_地说,claude-opus-4-6,C_poster,7,483,0.0145
更具体_地说,claude-opus-4-7,A_empty,27,483,0.0559
更具体_地说,claude-opus-4-7,B_listener,16,483,0.0331
更具体_地说,claude-opus-4-7,C_poster,6,483,0.0124
真正的X,gpt-4o-2024-11-20,A_empty,37,483,0.0766
真正的X,gpt-4o-2024-11-20,B_listener,20,483,0.0414
真正的X,gpt-4o-2024-11-20,C_poster,17,483,0.0352
真正的X,gpt-5-chat-latest,A_empty,17,483,0.0352
真正的X,gpt-5-chat-latest,B_listener,17,483,0.0352
真正的X,gpt-5-chat-latest,C_poster,28,483,0.0580
真正的X,gpt-5.3-chat,A_empty,12,483,0.0248
真正的X,gpt-5.3-chat,B_listener,13,483,0.0269
真正的X,gpt-5.3-chat,C_poster,31,483,0.0642
真正的X,gpt-5.4,A_empty,38,483,0.0787
真正的X,gpt-5.4,B_listener,27,483,0.0559
真正的X,gpt-5.4,C_poster,57,483,0.1180
真正的X,claude-opus-4-6,A_empty,29,483,0.0600
真正的X,claude-opus-4-6,B_listener,24,483,0.0497
真正的X,claude-opus-4-6,C_poster,43,483,0.0890
真正的X,claude-opus-4-7,A_empty,14,483,0.0290
真正的X,claude-opus-4-7,B_listener,15,483,0.0311
真正的X,claude-opus-4-7,C_poster,26,483,0.0538
你问到核心,gpt-4o-2024-11-20,A_empty,0,483,0.0000
你问到核心,gpt-4o-2024-11-20,B_listener,0,483,0.0000
你问到核心,gpt-4o-2024-11-20,C_poster,0,483,0.0000
你问到核心,gpt-5-chat-latest,A_empty,0,483,0.0000
你问到核心,gpt-5-chat-latest,B_listener,0,483,0.0000
你问到核心,gpt-5-chat-latest,C_poster,0,483,0.0000
你问到核心,gpt-5.3-chat,A_empty,0,483,0.0000
你问到核心,gpt-5.3-chat,B_listener,0,483,0.0000
你问到核心,gpt-5.3-chat,C_poster,0,483,0.0000
你问到核心,gpt-5.4,A_empty,0,483,0.0000
你问到核心,gpt-5.4,B_listener,0,483,0.0000
你问到核心,gpt-5.4,C_poster,0,483,0.0000
你问到核心,claude-opus-4-6,A_empty,0,483,0.0000
你问到核心,claude-opus-4-6,B_listener,0,483,0.0000
你问到核心,claude-opus-4-6,C_poster,0,483,0.0000
你问到核心,claude-opus-4-7,A_empty,0,483,0.0000
你问到核心,claude-opus-4-7,B_listener,0,483,0.0000
你问到核心,claude-opus-4-7,C_poster,0,483,0.0000
我太懂,gpt-4o-2024-11-20,A_empty,0,483,0.0000
我太懂,gpt-4o-2024-11-20,B_listener,0,483,0.0000
我太懂,gpt-4o-2024-11-20,C_poster,11,483,0.0228
我太懂,gpt-5-chat-latest,A_empty,1,483,0.0021
我太懂,gpt-5-chat-latest,B_listener,1,483,0.0021
我太懂,gpt-5-chat-latest,C_poster,27,483,0.0559
我太懂,gpt-5.3-chat,A_empty,1,483,0.0021
我太懂,gpt-5.3-chat,B_listener,0,483,0.0000
我太懂,gpt-5.3-chat,C_poster,1,483,0.0021
我太懂,gpt-5.4,A_empty,0,483,0.0000
我太懂,gpt-5.4,B_listener,0,483,0.0000
我太懂,gpt-5.4,C_poster,1,483,0.0021
我太懂,claude-opus-4-6,A_empty,0,483,0.0000
我太懂,claude-opus-4-6,B_listener,0,483,0.0000
我太懂,claude-opus-4-6,C_poster,2,483,0.0041
我太懂,claude-opus-4-7,A_empty,0,483,0.0000
我太懂,claude-opus-4-7,B_listener,1,483,0.0021
我太懂,claude-opus-4-7,C_poster,1,483,0.0021
我必须认真说,gpt-4o-2024-11-20,A_empty,0,483,0.0000
我必须认真说,gpt-4o-2024-11-20,B_listener,0,483,0.0000
我必须认真说,gpt-4o-2024-11-20,C_poster,0,483,0.0000
我必须认真说,gpt-5-chat-latest,A_empty,0,483,0.0000
我必须认真说,gpt-5-chat-latest,B_listener,0,483,0.0000
我必须认真说,gpt-5-chat-latest,C_poster,0,483,0.0000
我必须认真说,gpt-5.3-chat,A_empty,0,483,0.0000
我必须认真说,gpt-5.3-chat,B_listener,0,483,0.0000
我必须认真说,gpt-5.3-chat,C_poster,0,483,0.0000
我必须认真说,gpt-5.4,A_empty,0,483,0.0000
我必须认真说,gpt-5.4,B_listener,0,483,0.0000
我必须认真说,gpt-5.4,C_poster,0,483,0.0000
我必须认真说,claude-opus-4-6,A_empty,0,483,0.0000
我必须认真说,claude-opus-4-6,B_listener,0,483,0.0000
我必须认真说,claude-opus-4-6,C_poster,0,483,0.0000
我必须认真说,claude-opus-4-7,A_empty,0,483,0.0000
我必须认真说,claude-opus-4-7,B_listener,0,483,0.0000
我必须认真说,claude-opus-4-7,C_poster,0,483,0.0000
我就在这里,gpt-4o-2024-11-20,A_empty,0,483,0.0000
我就在这里,gpt-4o-2024-11-20,B_listener,0,483,0.0000
我就在这里,gpt-4o-2024-11-20,C_poster,0,483,0.0000
我就在这里,gpt-5-chat-latest,A_empty,0,483,0.0000
我就在这里,gpt-5-chat-latest,B_listener,0,483,0.0000
我就在这里,gpt-5-chat-latest,C_poster,0,483,0.0000
我就在这里,gpt-5.3-chat,A_empty,0,483,0.0000
我就在这里,gpt-5.3-chat,B_listener,0,483,0.0000
我就在这里,gpt-5.3-chat,C_poster,0,483,0.0000
我就在这里,gpt-5.4,A_empty,0,483,0.0000
我就在这里,gpt-5.4,B_listener,0,483,0.0000
我就在这里,gpt-5.4,C_poster,0,483,0.0000
我就在这里,claude-opus-4-6,A_empty,0,483,0.0000
我就在这里,claude-opus-4-6,B_listener,0,483,0.0000
我就在这里,claude-opus-4-6,C_poster,0,483,0.0000
我就在这里,claude-opus-4-7,A_empty,0,483,0.0000
我就在这里,claude-opus-4-7,B_listener,0,483,0.0000
我就在这里,claude-opus-4-7,C_poster,0,483,0.0000
这次我真的懂了,gpt-4o-2024-11-20,A_empty,0,483,0.0000
这次我真的懂了,gpt-4o-2024-11-20,B_listener,0,483,0.0000
这次我真的懂了,gpt-4o-2024-11-20,C_poster,0,483,0.0000
这次我真的懂了,gpt-5-chat-latest,A_empty,0,483,0.0000
这次我真的懂了,gpt-5-chat-latest,B_listener,0,483,0.0000
这次我真的懂了,gpt-5-chat-latest,C_poster,0,483,0.0000
这次我真的懂了,gpt-5.3-chat,A_empty,0,483,0.0000
这次我真的懂了,gpt-5.3-chat,B_listener,0,483,0.0000
这次我真的懂了,gpt-5.3-chat,C_poster,0,483,0.0000
这次我真的懂了,gpt-5.4,A_empty,0,483,0.0000
这次我真的懂了,gpt-5.4,B_listener,0,483,0.0000
这次我真的懂了,gpt-5.4,C_poster,0,483,0.0000
这次我真的懂了,claude-opus-4-6,A_empty,0,483,0.0000
这次我真的懂了,claude-opus-4-6,B_listener,0,483,0.0000
这次我真的懂了,claude-opus-4-6,C_poster,0,483,0.0000
这次我真的懂了,claude-opus-4-7,A_empty,0,483,0.0000
这次我真的懂了,claude-opus-4-7,B_listener,0,483,0.0000
这次我真的懂了,claude-opus-4-7,C_poster,0,483,0.0000
我先把,gpt-4o-2024-11-20,A_empty,0,483,0.0000
我先把,gpt-4o-2024-11-20,B_listener,0,483,0.0000
我先把,gpt-4o-2024-11-20,C_poster,0,483,0.0000
我先把,gpt-5-chat-latest,A_empty,0,483,0.0000
我先把,gpt-5-chat-latest,B_listener,0,483,0.0000
我先把,gpt-5-chat-latest,C_poster,0,483,0.0000
我先把,gpt-5.3-chat,A_empty,0,483,0.0000
我先把,gpt-5.3-chat,B_listener,0,483,0.0000
我先把,gpt-5.3-chat,C_poster,0,483,0.0000
我先把,gpt-5.4,A_empty,0,483,0.0000
我先把,gpt-5.4,B_listener,0,483,0.0000
我先把,gpt-5.4,C_poster,2,483,0.0041
我先把,claude-opus-4-6,A_empty,0,483,0.0000
我先把,claude-opus-4-6,B_listener,0,483,0.0000
我先把,claude-opus-4-6,C_poster,1,483,0.0021
我先把,claude-opus-4-7,A_empty,0,483,0.0000
我先把,claude-opus-4-7,B_listener,1,483,0.0021
我先把,claude-opus-4-7,C_poster,0,483,0.0000
你这,gpt-4o-2024-11-20,A_empty,6,483,0.0124
你这,gpt-4o-2024-11-20,B_listener,21,483,0.0435
你这,gpt-4o-2024-11-20,C_poster,15,483,0.0311
你这,gpt-5-chat-latest,A_empty,8,483,0.0166
你这,gpt-5-chat-latest,B_listener,32,483,0.0663
你这,gpt-5-chat-latest,C_poster,28,483,0.0580
你这,gpt-5.3-chat,A_empty,9,483,0.0186
你这,gpt-5.3-chat,B_listener,13,483,0.0269
你这,gpt-5.3-chat,C_poster,17,483,0.0352
你这,gpt-5.4,A_empty,37,483,0.0766
你这,gpt-5.4,B_listener,36,483,0.0745
你这,gpt-5.4,C_poster,50,483,0.1035
你这,claude-opus-4-6,A_empty,32,483,0.0663
你这,claude-opus-4-6,B_listener,25,483,0.0518
你这,claude-opus-4-6,C_poster,18,483,0.0373
你这,claude-opus-4-7,A_empty,10,483,0.0207
你这,claude-opus-4-7,B_listener,60,483,0.1242
你这,claude-opus-4-7,C_poster,16,483,0.0331
先说结论,gpt-4o-2024-11-20,A_empty,0,483,0.0000
先说结论,gpt-4o-2024-11-20,B_listener,0,483,0.0000
先说结论,gpt-4o-2024-11-20,C_poster,0,483,0.0000
先说结论,gpt-5-chat-latest,A_empty,0,483,0.0000
先说结论,gpt-5-chat-latest,B_listener,0,483,0.0000
先说结论,gpt-5-chat-latest,C_poster,3,483,0.0062
先说结论,gpt-5.3-chat,A_empty,2,483,0.0041
先说结论,gpt-5.3-chat,B_listener,2,483,0.0041
先说结论,gpt-5.3-chat,C_poster,14,483,0.0290
先说结论,gpt-5.4,A_empty,19,483,0.0393
先说结论,gpt-5.4,B_listener,11,483,0.0228
先说结论,gpt-5.4,C_poster,29,483,0.0600
先说结论,claude-opus-4-6,A_empty,9,483,0.0186
先说结论,claude-opus-4-6,B_listener,0,483,0.0000
先说结论,claude-opus-4-6,C_poster,21,483,0.0435
先说结论,claude-opus-4-7,A_empty,0,483,0.0000
先说结论,claude-opus-4-7,B_listener,1,483,0.0021
先说结论,claude-opus-4-7,C_poster,3,483,0.0062
我建议你,gpt-4o-2024-11-20,A_empty,1,483,0.0021
我建议你,gpt-4o-2024-11-20,B_listener,4,483,0.0083
我建议你,gpt-4o-2024-11-20,C_poster,0,483,0.0000
我建议你,gpt-5-chat-latest,A_empty,0,483,0.0000
我建议你,gpt-5-chat-latest,B_listener,1,483,0.0021
我建议你,gpt-5-chat-latest,C_poster,0,483,0.0000
我建议你,gpt-5.3-chat,A_empty,1,483,0.0021
我建议你,gpt-5.3-chat,B_listener,2,483,0.0041
我建议你,gpt-5.3-chat,C_poster,2,483,0.0041
我建议你,gpt-5.4,A_empty,15,483,0.0311
我建议你,gpt-5.4,B_listener,18,483,0.0373
我建议你,gpt-5.4,C_poster,19,483,0.0393
我建议你,claude-opus-4-6,A_empty,0,483,0.0000
我建议你,claude-opus-4-6,B_listener,2,483,0.0041
我建议你,claude-opus-4-6,C_poster,0,483,0.0000
我建议你,claude-opus-4-7,A_empty,0,483,0.0000
我建议你,claude-opus-4-7,B_listener,0,483,0.0000
我建议你,claude-opus-4-7,C_poster,0,483,0.0000
如果你,gpt-4o-2024-11-20,A_empty,198,483,0.4099
如果你,gpt-4o-2024-11-20,B_listener,214,483,0.4431
如果你,gpt-4o-2024-11-20,C_poster,84,483,0.1739
如果你,gpt-5-chat-latest,A_empty,258,483,0.5342
如果你,gpt-5-chat-latest,B_listener,196,483,0.4058
如果你,gpt-5-chat-latest,C_poster,106,483,0.2195
如果你,gpt-5.3-chat,A_empty,299,483,0.6190
如果你,gpt-5.3-chat,B_listener,339,483,0.7019
如果你,gpt-5.3-chat,C_poster,281,483,0.5818
如果你,gpt-5.4,A_empty,420,483,0.8696
如果你,gpt-5.4,B_listener,432,483,0.8944
如果你,gpt-5.4,C_poster,437,483,0.9048
如果你,claude-opus-4-6,A_empty,80,483,0.1656
如果你,claude-opus-4-6,B_listener,124,483,0.2567
如果你,claude-opus-4-6,C_poster,82,483,0.1698
如果你,claude-opus-4-7,A_empty,83,483,0.1718
如果你,claude-opus-4-7,B_listener,120,483,0.2484
如果你,claude-opus-4-7,C_poster,60,483,0.1242
如果你愿意,gpt-4o-2024-11-20,A_empty,40,483,0.0828
如果你愿意,gpt-4o-2024-11-20,B_listener,74,483,0.1532
如果你愿意,gpt-4o-2024-11-20,C_poster,9,483,0.0186
如果你愿意,gpt-5-chat-latest,A_empty,113,483,0.2340
如果你愿意,gpt-5-chat-latest,B_listener,91,483,0.1884
如果你愿意,gpt-5-chat-latest,C_poster,27,483,0.0559
如果你愿意,gpt-5.3-chat,A_empty,255,483,0.5280
如果你愿意,gpt-5.3-chat,B_listener,289,483,0.5983
如果你愿意,gpt-5.3-chat,C_poster,247,483,0.5114
如果你愿意,gpt-5.4,A_empty,397,483,0.8219
如果你愿意,gpt-5.4,B_listener,414,483,0.8571
如果你愿意,gpt-5.4,C_poster,420,483,0.8696
如果你愿意,claude-opus-4-6,A_empty,19,483,0.0393
如果你愿意,claude-opus-4-6,B_listener,34,483,0.0704
如果你愿意,claude-opus-4-6,C_poster,18,483,0.0373
如果你愿意,claude-opus-4-7,A_empty,20,483,0.0414
如果你愿意,claude-opus-4-7,B_listener,54,483,0.1118
如果你愿意,claude-opus-4-7,C_poster,19,483,0.0393
给你X,gpt-4o-2024-11-20,A_empty,9,483,0.0186
给你X,gpt-4o-2024-11-20,B_listener,5,483,0.0104
给你X,gpt-4o-2024-11-20,C_poster,8,483,0.0166
给你X,gpt-5-chat-latest,A_empty,5,483,0.0104
给你X,gpt-5-chat-latest,B_listener,7,483,0.0145
给你X,gpt-5-chat-latest,C_poster,6,483,0.0124
给你X,gpt-5.3-chat,A_empty,35,483,0.0725
给你X,gpt-5.3-chat,B_listener,27,483,0.0559
给你X,gpt-5.3-chat,C_poster,45,483,0.0932
给你X,gpt-5.4,A_empty,124,483,0.2567
给你X,gpt-5.4,B_listener,115,483,0.2381
给你X,gpt-5.4,C_poster,137,483,0.2836
给你X,claude-opus-4-6,A_empty,1,483,0.0021
给你X,claude-opus-4-6,B_listener,9,483,0.0186
给你X,claude-opus-4-6,C_poster,7,483,0.0145
给你X,claude-opus-4-7,A_empty,17,483,0.0352
给你X,claude-opus-4-7,B_listener,18,483,0.0373
给你X,claude-opus-4-7,C_poster,21,483,0.0435
要我X,gpt-4o-2024-11-20,A_empty,3,483,0.0062
要我X,gpt-4o-2024-11-20,B_listener,1,483,0.0021
要我X,gpt-4o-2024-11-20,C_poster,0,483,0.0000
要我X,gpt-5-chat-latest,A_empty,38,483,0.0787
要我X,gpt-5-chat-latest,B_listener,16,483,0.0331
要我X,gpt-5-chat-latest,C_poster,24,483,0.0497
要我X,gpt-5.3-chat,A_empty,0,483,0.0000
要我X,gpt-5.3-chat,B_listener,1,483,0.0021
要我X,gpt-5.3-chat,C_poster,0,483,0.0000
要我X,gpt-5.4,A_empty,2,483,0.0041
要我X,gpt-5.4,B_listener,0,483,0.0000
要我X,gpt-5.4,C_poster,0,483,0.0000
要我X,claude-opus-4-6,A_empty,2,483,0.0041
要我X,claude-opus-4-6,B_listener,2,483,0.0041
要我X,claude-opus-4-6,C_poster,4,483,0.0083
要我X,claude-opus-4-7,A_empty,6,483,0.0124
要我X,claude-opus-4-7,B_listener,6,483,0.0124
要我X,claude-opus-4-7,C_poster,7,483,0.0145
要_吗,gpt-4o-2024-11-20,A_empty,8,483,0.0166
要_吗,gpt-4o-2024-11-20,B_listener,3,483,0.0062
要_吗,gpt-4o-2024-11-20,C_poster,7,483,0.0145
要_吗,gpt-5-chat-latest,A_empty,14,483,0.0290
要_吗,gpt-5-chat-latest,B_listener,15,483,0.0311
要_吗,gpt-5-chat-latest,C_poster,8,483,0.0166
要_吗,gpt-5.3-chat,A_empty,2,483,0.0041
要_吗,gpt-5.3-chat,B_listener,0,483,0.0000
要_吗,gpt-5.3-chat,C_poster,1,483,0.0021
要_吗,gpt-5.4,A_empty,6,483,0.0124
要_吗,gpt-5.4,B_listener,4,483,0.0083
要_吗,gpt-5.4,C_poster,7,483,0.0145
要_吗,claude-opus-4-6,A_empty,4,483,0.0083
要_吗,claude-opus-4-6,B_listener,12,483,0.0248
要_吗,claude-opus-4-6,C_poster,6,483,0.0124
要_吗,claude-opus-4-7,A_empty,13,483,0.0269
要_吗,claude-opus-4-7,B_listener,5,483,0.0104
要_吗,claude-opus-4-7,C_poster,8,483,0.0166
要不要把,gpt-4o-2024-11-20,A_empty,0,483,0.0000
要不要把,gpt-4o-2024-11-20,B_listener,0,483,0.0000
要不要把,gpt-4o-2024-11-20,C_poster,0,483,0.0000
要不要把,gpt-5-chat-latest,A_empty,0,483,0.0000
要不要把,gpt-5-chat-latest,B_listener,0,483,0.0000
要不要把,gpt-5-chat-latest,C_poster,0,483,0.0000
要不要把,gpt-5.3-chat,A_empty,0,483,0.0000
要不要把,gpt-5.3-chat,B_listener,1,483,0.0021
要不要把,gpt-5.3-chat,C_poster,0,483,0.0000
要不要把,gpt-5.4,A_empty,0,483,0.0000
