pattern,model,category,n_hit,n_total,rate
加粗,gpt-5.3-chat,creative,2,135,0.0148
加粗,gpt-5.3-chat,disagreement,13,90,0.1444
加粗,gpt-5.3-chat,emotional_comfort,15,90,0.1667
加粗,gpt-5.3-chat,meaning_existential,25,72,0.3472
加粗,gpt-5.3-chat,procrastination,47,72,0.6528
加粗,gpt-5.3-chat,refusal,50,99,0.5051
加粗,gpt-5.3-chat,relationships,35,90,0.3889
加粗,gpt-5.3-chat,self_doubt,38,90,0.4222
加粗,gpt-5.3-chat,summarization,56,135,0.4148
加粗,gpt-5.3-chat,tech_deliberation,132,135,0.9778
加粗,gpt-5.3-chat,work_study,37,90,0.4111
加粗,gpt-5.4,analysis,134,135,0.9926
加粗,gpt-5.4,community_replication,63,90,0.7000
加粗,gpt-5.4,control_casual,48,54,0.8889
加粗,gpt-5.4,control_technical,72,72,1.0000
加粗,gpt-5.4,creative,92,135,0.6815
加粗,gpt-5.4,disagreement,45,90,0.5000
加粗,gpt-5.4,emotional_comfort,79,90,0.8778
加粗,gpt-5.4,meaning_existential,69,72,0.9583
加粗,gpt-5.4,procrastination,71,72,0.9861
加粗,gpt-5.4,refusal,84,99,0.8485
加粗,gpt-5.4,relationships,88,90,0.9778
加粗,gpt-5.4,self_doubt,85,90,0.9444
加粗,gpt-5.4,summarization,83,135,0.6148
加粗,gpt-5.4,tech_deliberation,135,135,1.0000
加粗,gpt-5.4,work_study,88,90,0.9778
加粗,claude-opus-4-6,analysis,129,135,0.9556
加粗,claude-opus-4-6,community_replication,71,90,0.7889
加粗,claude-opus-4-6,control_casual,48,54,0.8889
加粗,claude-opus-4-6,control_technical,72,72,1.0000
加粗,claude-opus-4-6,creative,105,135,0.7778
加粗,claude-opus-4-6,disagreement,44,90,0.4889
加粗,claude-opus-4-6,emotional_comfort,59,90,0.6556
加粗,claude-opus-4-6,meaning_existential,59,72,0.8194
加粗,claude-opus-4-6,procrastination,65,72,0.9028
加粗,claude-opus-4-6,refusal,95,99,0.9596
加粗,claude-opus-4-6,relationships,68,90,0.7556
加粗,claude-opus-4-6,self_doubt,77,90,0.8556
加粗,claude-opus-4-6,summarization,102,135,0.7556
加粗,claude-opus-4-6,tech_deliberation,135,135,1.0000
加粗,claude-opus-4-6,work_study,78,90,0.8667
加粗,claude-opus-4-7,analysis,128,135,0.9481
加粗,claude-opus-4-7,community_replication,51,90,0.5667
加粗,claude-opus-4-7,control_casual,46,54,0.8519
加粗,claude-opus-4-7,control_technical,67,72,0.9306
加粗,claude-opus-4-7,creative,102,135,0.7556
加粗,claude-opus-4-7,disagreement,0,90,0.0000
加粗,claude-opus-4-7,emotional_comfort,3,90,0.0333
加粗,claude-opus-4-7,meaning_existential,2,72,0.0278
加粗,claude-opus-4-7,procrastination,12,72,0.1667
加粗,claude-opus-4-7,refusal,42,99,0.4242
加粗,claude-opus-4-7,relationships,7,90,0.0778
加粗,claude-opus-4-7,self_doubt,5,90,0.0556
加粗,claude-opus-4-7,summarization,84,135,0.6222
加粗,claude-opus-4-7,tech_deliberation,132,135,0.9778
加粗,claude-opus-4-7,work_study,12,90,0.1333
不是_是,gpt-4o-2024-11-20,analysis,33,135,0.2444
不是_是,gpt-4o-2024-11-20,community_replication,6,90,0.0667
不是_是,gpt-4o-2024-11-20,control_casual,2,54,0.0370
不是_是,gpt-4o-2024-11-20,control_technical,0,72,0.0000
不是_是,gpt-4o-2024-11-20,creative,20,135,0.1481
不是_是,gpt-4o-2024-11-20,disagreement,1,90,0.0111
不是_是,gpt-4o-2024-11-20,emotional_comfort,21,90,0.2333
不是_是,gpt-4o-2024-11-20,meaning_existential,20,72,0.2778
不是_是,gpt-4o-2024-11-20,procrastination,22,72,0.3056
不是_是,gpt-4o-2024-11-20,refusal,4,99,0.0404
不是_是,gpt-4o-2024-11-20,relationships,37,90,0.4111
不是_是,gpt-4o-2024-11-20,self_doubt,22,90,0.2444
不是_是,gpt-4o-2024-11-20,summarization,10,135,0.0741
不是_是,gpt-4o-2024-11-20,tech_deliberation,10,135,0.0741
不是_是,gpt-4o-2024-11-20,work_study,20,90,0.2222
不是_是,gpt-5-chat-latest,analysis,56,135,0.4148
不是_是,gpt-5-chat-latest,community_replication,15,90,0.1667
不是_是,gpt-5-chat-latest,control_casual,3,54,0.0556
不是_是,gpt-5-chat-latest,control_technical,8,72,0.1111
不是_是,gpt-5-chat-latest,creative,33,135,0.2444
不是_是,gpt-5-chat-latest,disagreement,6,90,0.0667
不是_是,gpt-5-chat-latest,emotional_comfort,25,90,0.2778
不是_是,gpt-5-chat-latest,meaning_existential,28,72,0.3889
不是_是,gpt-5-chat-latest,procrastination,31,72,0.4306
不是_是,gpt-5-chat-latest,refusal,11,99,0.1111
不是_是,gpt-5-chat-latest,relationships,31,90,0.3444
不是_是,gpt-5-chat-latest,self_doubt,25,90,0.2778
不是_是,gpt-5-chat-latest,summarization,18,135,0.1333
不是_是,gpt-5-chat-latest,tech_deliberation,10,135,0.0741
不是_是,gpt-5-chat-latest,work_study,23,90,0.2556
不是_是,gpt-5.3-chat,analysis,60,135,0.4444
不是_是,gpt-5.3-chat,community_replication,13,90,0.1444
不是_是,gpt-5.3-chat,control_casual,4,54,0.0741
不是_是,gpt-5.3-chat,control_technical,2,72,0.0278
不是_是,gpt-5.3-chat,creative,25,135,0.1852
不是_是,gpt-5.3-chat,disagreement,4,90,0.0444
不是_是,gpt-5.3-chat,emotional_comfort,26,90,0.2889
不是_是,gpt-5.3-chat,meaning_existential,37,72,0.5139
不是_是,gpt-5.3-chat,procrastination,45,72,0.6250
不是_是,gpt-5.3-chat,refusal,5,99,0.0505
不是_是,gpt-5.3-chat,relationships,36,90,0.4000
不是_是,gpt-5.3-chat,self_doubt,36,90,0.4000
不是_是,gpt-5.3-chat,summarization,23,135,0.1704
不是_是,gpt-5.3-chat,tech_deliberation,28,135,0.2074
不是_是,gpt-5.3-chat,work_study,27,90,0.3000
不是_是,gpt-5.4,analysis,125,135,0.9259
不是_是,gpt-5.4,community_replication,23,90,0.2556
不是_是,gpt-5.4,control_casual,9,54,0.1667
不是_是,gpt-5.4,control_technical,29,72,0.4028
不是_是,gpt-5.4,creative,41,135,0.3037
不是_是,gpt-5.4,disagreement,17,90,0.1889
不是_是,gpt-5.4,emotional_comfort,45,90,0.5000
不是_是,gpt-5.4,meaning_existential,48,72,0.6667
不是_是,gpt-5.4,procrastination,57,72,0.7917
不是_是,gpt-5.4,refusal,18,99,0.1818
不是_是,gpt-5.4,relationships,77,90,0.8556
不是_是,gpt-5.4,self_doubt,60,90,0.6667
不是_是,gpt-5.4,summarization,45,135,0.3333
不是_是,gpt-5.4,tech_deliberation,106,135,0.7852
不是_是,gpt-5.4,work_study,73,90,0.8111
不是_是,claude-opus-4-6,analysis,78,135,0.5778
不是_是,claude-opus-4-6,community_replication,16,90,0.1778
不是_是,claude-opus-4-6,control_casual,1,54,0.0185
不是_是,claude-opus-4-6,control_technical,7,72,0.0972
不是_是,claude-opus-4-6,creative,40,135,0.2963
不是_是,claude-opus-4-6,disagreement,2,90,0.0222
不是_是,claude-opus-4-6,emotional_comfort,21,90,0.2333
不是_是,claude-opus-4-6,meaning_existential,21,72,0.2917
不是_是,claude-opus-4-6,procrastination,33,72,0.4583
不是_是,claude-opus-4-6,refusal,24,99,0.2424
不是_是,claude-opus-4-6,relationships,24,90,0.2667
不是_是,claude-opus-4-6,self_doubt,43,90,0.4778
不是_是,claude-opus-4-6,summarization,26,135,0.1926
不是_是,claude-opus-4-6,tech_deliberation,34,135,0.2519
不是_是,claude-opus-4-6,work_study,26,90,0.2889
不是_是,claude-opus-4-7,analysis,70,135,0.5185
不是_是,claude-opus-4-7,community_replication,14,90,0.1556
不是_是,claude-opus-4-7,control_casual,1,54,0.0185
不是_是,claude-opus-4-7,control_technical,3,72,0.0417
不是_是,claude-opus-4-7,creative,28,135,0.2074
不是_是,claude-opus-4-7,disagreement,0,90,0.0000
不是_是,claude-opus-4-7,emotional_comfort,18,90,0.2000
不是_是,claude-opus-4-7,meaning_existential,19,72,0.2639
不是_是,claude-opus-4-7,procrastination,27,72,0.3750
不是_是,claude-opus-4-7,refusal,31,99,0.3131
不是_是,claude-opus-4-7,relationships,16,90,0.1778
不是_是,claude-opus-4-7,self_doubt,21,90,0.2333
不是_是,claude-opus-4-7,summarization,19,135,0.1407
不是_是,claude-opus-4-7,tech_deliberation,7,135,0.0519
不是_是,claude-opus-4-7,work_study,18,90,0.2000
接住,gpt-4o-2024-11-20,analysis,5,135,0.0370
接住,gpt-4o-2024-11-20,community_replication,2,90,0.0222
接住,gpt-4o-2024-11-20,control_casual,0,54,0.0000
接住,gpt-4o-2024-11-20,control_technical,0,72,0.0000
接住,gpt-4o-2024-11-20,creative,0,135,0.0000
接住,gpt-4o-2024-11-20,disagreement,4,90,0.0444
接住,gpt-4o-2024-11-20,emotional_comfort,2,90,0.0222
接住,gpt-4o-2024-11-20,meaning_existential,0,72,0.0000
接住,gpt-4o-2024-11-20,procrastination,1,72,0.0139
接住,gpt-4o-2024-11-20,refusal,2,99,0.0202
接住,gpt-4o-2024-11-20,relationships,2,90,0.0222
接住,gpt-4o-2024-11-20,self_doubt,1,90,0.0111
接住,gpt-4o-2024-11-20,summarization,2,135,0.0148
接住,gpt-4o-2024-11-20,tech_deliberation,3,135,0.0222
接住,gpt-4o-2024-11-20,work_study,0,90,0.0000
接住,gpt-5-chat-latest,analysis,4,135,0.0296
接住,gpt-5-chat-latest,community_replication,3,90,0.0333
接住,gpt-5-chat-latest,control_casual,0,54,0.0000
接住,gpt-5-chat-latest,control_technical,0,72,0.0000
接住,gpt-5-chat-latest,creative,2,135,0.0148
接住,gpt-5-chat-latest,disagreement,1,90,0.0111
接住,gpt-5-chat-latest,emotional_comfort,3,90,0.0333
接住,gpt-5-chat-latest,meaning_existential,1,72,0.0139
接住,gpt-5-chat-latest,procrastination,0,72,0.0000
接住,gpt-5-chat-latest,refusal,3,99,0.0303
接住,gpt-5-chat-latest,relationships,0,90,0.0000
接住,gpt-5-chat-latest,self_doubt,1,90,0.0111
接住,gpt-5-chat-latest,summarization,0,135,0.0000
接住,gpt-5-chat-latest,tech_deliberation,1,135,0.0074
接住,gpt-5-chat-latest,work_study,2,90,0.0222
接住,gpt-5.3-chat,analysis,2,135,0.0148
接住,gpt-5.3-chat,community_replication,0,90,0.0000
接住,gpt-5.3-chat,control_casual,0,54,0.0000
接住,gpt-5.3-chat,control_technical,0,72,0.0000
接住,gpt-5.3-chat,creative,2,135,0.0148
接住,gpt-5.3-chat,disagreement,3,90,0.0333
接住,gpt-5.3-chat,emotional_comfort,5,90,0.0556
接住,gpt-5.3-chat,meaning_existential,0,72,0.0000
接住,gpt-5.3-chat,procrastination,0,72,0.0000
接住,gpt-5.3-chat,refusal,0,99,0.0000
接住,gpt-5.3-chat,relationships,1,90,0.0111
接住,gpt-5.3-chat,self_doubt,2,90,0.0222
接住,gpt-5.3-chat,summarization,0,135,0.0000
接住,gpt-5.3-chat,tech_deliberation,0,135,0.0000
接住,gpt-5.3-chat,work_study,1,90,0.0111
接住,gpt-5.4,analysis,14,135,0.1037
接住,gpt-5.4,community_replication,4,90,0.0444
接住,gpt-5.4,control_casual,0,54,0.0000
接住,gpt-5.4,control_technical,0,72,0.0000
接住,gpt-5.4,creative,5,135,0.0370
接住,gpt-5.4,disagreement,12,90,0.1333
接住,gpt-5.4,emotional_comfort,18,90,0.2000
接住,gpt-5.4,meaning_existential,14,72,0.1944
接住,gpt-5.4,procrastination,0,72,0.0000
接住,gpt-5.4,refusal,5,99,0.0505
接住,gpt-5.4,relationships,19,90,0.2111
接住,gpt-5.4,self_doubt,17,90,0.1889
接住,gpt-5.4,summarization,0,135,0.0000
接住,gpt-5.4,tech_deliberation,2,135,0.0148
接住,gpt-5.4,work_study,0,90,0.0000
接住,claude-opus-4-6,analysis,7,135,0.0519
接住,claude-opus-4-6,community_replication,3,90,0.0333
接住,claude-opus-4-6,control_casual,1,54,0.0185
接住,claude-opus-4-6,control_technical,1,72,0.0139
接住,claude-opus-4-6,creative,4,135,0.0296
接住,claude-opus-4-6,disagreement,4,90,0.0444
接住,claude-opus-4-6,emotional_comfort,4,90,0.0444
接住,claude-opus-4-6,meaning_existential,4,72,0.0556
接住,claude-opus-4-6,procrastination,1,72,0.0139
接住,claude-opus-4-6,refusal,4,99,0.0404
接住,claude-opus-4-6,relationships,6,90,0.0667
接住,claude-opus-4-6,self_doubt,8,90,0.0889
接住,claude-opus-4-6,summarization,1,135,0.0074
接住,claude-opus-4-6,tech_deliberation,0,135,0.0000
接住,claude-opus-4-6,work_study,1,90,0.0111
接住,claude-opus-4-7,analysis,2,135,0.0148
接住,claude-opus-4-7,community_replication,4,90,0.0444
接住,claude-opus-4-7,control_casual,0,54,0.0000
接住,claude-opus-4-7,control_technical,0,72,0.0000
接住,claude-opus-4-7,creative,4,135,0.0296
接住,claude-opus-4-7,disagreement,7,90,0.0778
接住,claude-opus-4-7,emotional_comfort,1,90,0.0111
接住,claude-opus-4-7,meaning_existential,0,72,0.0000
接住,claude-opus-4-7,procrastination,1,72,0.0139
接住,claude-opus-4-7,refusal,2,99,0.0202
接住,claude-opus-4-7,relationships,3,90,0.0333
接住,claude-opus-4-7,self_doubt,2,90,0.0222
接住,claude-opus-4-7,summarization,1,135,0.0074
接住,claude-opus-4-7,tech_deliberation,0,135,0.0000
接住,claude-opus-4-7,work_study,0,90,0.0000
给你X,gpt-4o-2024-11-20,analysis,0,135,0.0000
给你X,gpt-4o-2024-11-20,community_replication,0,90,0.0000
给你X,gpt-4o-2024-11-20,control_casual,2,54,0.0370
给你X,gpt-4o-2024-11-20,control_technical,2,72,0.0278
给你X,gpt-4o-2024-11-20,creative,6,135,0.0444
给你X,gpt-4o-2024-11-20,disagreement,0,90,0.0000
给你X,gpt-4o-2024-11-20,emotional_comfort,3,90,0.0333
给你X,gpt-4o-2024-11-20,meaning_existential,2,72,0.0278
给你X,gpt-4o-2024-11-20,procrastination,0,72,0.0000
给你X,gpt-4o-2024-11-20,refusal,0,99,0.0000
给你X,gpt-4o-2024-11-20,relationships,1,90,0.0111
给你X,gpt-4o-2024-11-20,self_doubt,0,90,0.0000
给你X,gpt-4o-2024-11-20,summarization,0,135,0.0000
给你X,gpt-4o-2024-11-20,tech_deliberation,5,135,0.0370
给你X,gpt-4o-2024-11-20,work_study,1,90,0.0111
给你X,gpt-5-chat-latest,analysis,0,135,0.0000
给你X,gpt-5-chat-latest,community_replication,1,90,0.0111
给你X,gpt-5-chat-latest,control_casual,3,54,0.0556
给你X,gpt-5-chat-latest,control_technical,2,72,0.0278
给你X,gpt-5-chat-latest,creative,5,135,0.0370
给你X,gpt-5-chat-latest,disagreement,2,90,0.0222
给你X,gpt-5-chat-latest,emotional_comfort,0,90,0.0000
给你X,gpt-5-chat-latest,meaning_existential,1,72,0.0139
给你X,gpt-5-chat-latest,procrastination,0,72,0.0000
给你X,gpt-5-chat-latest,refusal,0,99,0.0000
给你X,gpt-5-chat-latest,relationships,0,90,0.0000
给你X,gpt-5-chat-latest,self_doubt,0,90,0.0000
给你X,gpt-5-chat-latest,summarization,1,135,0.0074
给你X,gpt-5-chat-latest,tech_deliberation,3,135,0.0222
给你X,gpt-5-chat-latest,work_study,0,90,0.0000
给你X,gpt-5.3-chat,analysis,9,135,0.0667
给你X,gpt-5.3-chat,community_replication,7,90,0.0778
给你X,gpt-5.3-chat,control_casual,13,54,0.2407
给你X,gpt-5.3-chat,control_technical,14,72,0.1944
给你X,gpt-5.3-chat,creative,3,135,0.0222
给你X,gpt-5.3-chat,disagreement,2,90,0.0222
给你X,gpt-5.3-chat,emotional_comfort,0,90,0.0000
给你X,gpt-5.3-chat,meaning_existential,0,72,0.0000
给你X,gpt-5.3-chat,procrastination,0,72,0.0000
给你X,gpt-5.3-chat,refusal,12,99,0.1212
给你X,gpt-5.3-chat,relationships,2,90,0.0222
给你X,gpt-5.3-chat,self_doubt,1,90,0.0111
给你X,gpt-5.3-chat,summarization,5,135,0.0370
给你X,gpt-5.3-chat,tech_deliberation,38,135,0.2815
给你X,gpt-5.3-chat,work_study,1,90,0.0111
给你X,gpt-5.4,analysis,24,135,0.1778
给你X,gpt-5.4,community_replication,33,90,0.3667
给你X,gpt-5.4,control_casual,20,54,0.3704
给你X,gpt-5.4,control_technical,52,72,0.7222
给你X,gpt-5.4,creative,66,135,0.4889
给你X,gpt-5.4,disagreement,12,90,0.1333
给你X,gpt-5.4,emotional_comfort,2,90,0.0222
给你X,gpt-5.4,meaning_existential,4,72,0.0556
给你X,gpt-5.4,procrastination,10,72,0.1389
给你X,gpt-5.4,refusal,25,99,0.2525
给你X,gpt-5.4,relationships,10,90,0.1111
给你X,gpt-5.4,self_doubt,3,90,0.0333
给你X,gpt-5.4,summarization,17,135,0.1259
给你X,gpt-5.4,tech_deliberation,88,135,0.6519
给你X,gpt-5.4,work_study,10,90,0.1111
给你X,claude-opus-4-6,analysis,4,135,0.0296
给你X,claude-opus-4-6,community_replication,1,90,0.0111
给你X,claude-opus-4-6,control_casual,1,54,0.0185
给你X,claude-opus-4-6,control_technical,0,72,0.0000
给你X,claude-opus-4-6,creative,6,135,0.0444
给你X,claude-opus-4-6,disagreement,1,90,0.0111
给你X,claude-opus-4-6,emotional_comfort,0,90,0.0000
给你X,claude-opus-4-6,meaning_existential,0,72,0.0000
给你X,claude-opus-4-6,procrastination,0,72,0.0000
给你X,claude-opus-4-6,refusal,2,99,0.0202
给你X,claude-opus-4-6,relationships,0,90,0.0000
给你X,claude-opus-4-6,self_doubt,0,90,0.0000
给你X,claude-opus-4-6,summarization,1,135,0.0074
给你X,claude-opus-4-6,tech_deliberation,1,135,0.0074
给你X,claude-opus-4-6,work_study,0,90,0.0000
给你X,claude-opus-4-7,analysis,10,135,0.0741
给你X,claude-opus-4-7,community_replication,6,90,0.0667
给你X,claude-opus-4-7,control_casual,3,54,0.0556
给你X,claude-opus-4-7,control_technical,3,72,0.0417
给你X,claude-opus-4-7,creative,18,135,0.1333
给你X,claude-opus-4-7,disagreement,0,90,0.0000
给你X,claude-opus-4-7,emotional_comfort,0,90,0.0000
给你X,claude-opus-4-7,meaning_existential,1,72,0.0139
给你X,claude-opus-4-7,procrastination,0,72,0.0000
给你X,claude-opus-4-7,refusal,1,99,0.0101
给你X,claude-opus-4-7,relationships,0,90,0.0000
给你X,claude-opus-4-7,self_doubt,2,90,0.0222
给你X,claude-opus-4-7,summarization,4,135,0.0296
给你X,claude-opus-4-7,tech_deliberation,8,135,0.0593
给你X,claude-opus-4-7,work_study,0,90,0.0000
如果你愿意,gpt-4o-2024-11-20,analysis,4,135,0.0296
如果你愿意,gpt-4o-2024-11-20,community_replication,2,90,0.0222
如果你愿意,gpt-4o-2024-11-20,control_casual,1,54,0.0185
如果你愿意,gpt-4o-2024-11-20,control_technical,0,72,0.0000
如果你愿意,gpt-4o-2024-11-20,creative,2,135,0.0148
如果你愿意,gpt-4o-2024-11-20,disagreement,17,90,0.1889
如果你愿意,gpt-4o-2024-11-20,emotional_comfort,27,90,0.3000
如果你愿意,gpt-4o-2024-11-20,meaning_existential,14,72,0.1944
如果你愿意,gpt-4o-2024-11-20,procrastination,7,72,0.0972
如果你愿意,gpt-4o-2024-11-20,refusal,6,99,0.0606
如果你愿意,gpt-4o-2024-11-20,relationships,12,90,0.1333
如果你愿意,gpt-4o-2024-11-20,self_doubt,14,90,0.1556
如果你愿意,gpt-4o-2024-11-20,summarization,1,135,0.0074
如果你愿意,gpt-4o-2024-11-20,tech_deliberation,3,135,0.0222
如果你愿意,gpt-4o-2024-11-20,work_study,13,90,0.1444
如果你愿意,gpt-5-chat-latest,analysis,31,135,0.2296
如果你愿意,gpt-5-chat-latest,community_replication,11,90,0.1222
如果你愿意,gpt-5-chat-latest,control_casual,0,54,0.0000
如果你愿意,gpt-5-chat-latest,control_technical,14,72,0.1944
如果你愿意,gpt-5-chat-latest,creative,3,135,0.0222
如果你愿意,gpt-5-chat-latest,disagreement,2,90,0.0222
如果你愿意,gpt-5-chat-latest,emotional_comfort,20,90,0.2222
如果你愿意,gpt-5-chat-latest,meaning_existential,18,72,0.2500
如果你愿意,gpt-5-chat-latest,procrastination,14,72,0.1944
如果你愿意,gpt-5-chat-latest,refusal,10,99,0.1010
如果你愿意,gpt-5-chat-latest,relationships,25,90,0.2778
如果你愿意,gpt-5-chat-latest,self_doubt,23,90,0.2556
如果你愿意,gpt-5-chat-latest,summarization,1,135,0.0074
如果你愿意,gpt-5-chat-latest,tech_deliberation,39,135,0.2889
如果你愿意,gpt-5-chat-latest,work_study,20,90,0.2222
如果你愿意,gpt-5.3-chat,analysis,76,135,0.5630
如果你愿意,gpt-5.3-chat,community_replication,32,90,0.3556
如果你愿意,gpt-5.3-chat,control_casual,19,54,0.3519
如果你愿意,gpt-5.3-chat,control_technical,41,72,0.5694
如果你愿意,gpt-5.3-chat,creative,5,135,0.0370
如果你愿意,gpt-5.3-chat,disagreement,24,90,0.2667
如果你愿意,gpt-5.3-chat,emotional_comfort,79,90,0.8778
如果你愿意,gpt-5.3-chat,meaning_existential,58,72,0.8056
如果你愿意,gpt-5.3-chat,procrastination,45,72,0.6250
如果你愿意,gpt-5.3-chat,refusal,58,99,0.5859
如果你愿意,gpt-5.3-chat,relationships,72,90,0.8000
如果你愿意,gpt-5.3-chat,self_doubt,76,90,0.8444
如果你愿意,gpt-5.3-chat,summarization,12,135,0.0889
如果你愿意,gpt-5.3-chat,tech_deliberation,129,135,0.9556
如果你愿意,gpt-5.3-chat,work_study,65,90,0.7222
如果你愿意,gpt-5.4,analysis,132,135,0.9778
如果你愿意,gpt-5.4,community_replication,55,90,0.6111
如果你愿意,gpt-5.4,control_casual,48,54,0.8889
如果你愿意,gpt-5.4,control_technical,70,72,0.9722
如果你愿意,gpt-5.4,creative,101,135,0.7481
如果你愿意,gpt-5.4,disagreement,46,90,0.5111
如果你愿意,gpt-5.4,emotional_comfort,87,90,0.9667
如果你愿意,gpt-5.4,meaning_existential,71,72,0.9861
如果你愿意,gpt-5.4,procrastination,65,72,0.9028
如果你愿意,gpt-5.4,refusal,84,99,0.8485
如果你愿意,gpt-5.4,relationships,89,90,0.9889
如果你愿意,gpt-5.4,self_doubt,89,90,0.9889
如果你愿意,gpt-5.4,summarization,71,135,0.5259
如果你愿意,gpt-5.4,tech_deliberation,135,135,1.0000
如果你愿意,gpt-5.4,work_study,88,90,0.9778
如果你愿意,claude-opus-4-6,analysis,8,135,0.0593
如果你愿意,claude-opus-4-6,community_replication,1,90,0.0111
如果你愿意,claude-opus-4-6,control_casual,0,54,0.0000
如果你愿意,claude-opus-4-6,control_technical,0,72,0.0000
如果你愿意,claude-opus-4-6,creative,7,135,0.0519
如果你愿意,claude-opus-4-6,disagreement,0,90,0.0000
如果你愿意,claude-opus-4-6,emotional_comfort,8,90,0.0889
如果你愿意,claude-opus-4-6,meaning_existential,4,72,0.0556
如果你愿意,claude-opus-4-6,procrastination,1,72,0.0139
如果你愿意,claude-opus-4-6,refusal,19,99,0.1919
如果你愿意,claude-opus-4-6,relationships,4,90,0.0444
如果你愿意,claude-opus-4-6,self_doubt,14,90,0.1556
如果你愿意,claude-opus-4-6,summarization,1,135,0.0074
如果你愿意,claude-opus-4-6,tech_deliberation,1,135,0.0074
如果你愿意,claude-opus-4-6,work_study,3,90,0.0333
如果你愿意,claude-opus-4-7,analysis,8,135,0.0593
如果你愿意,claude-opus-4-7,community_replication,7,90,0.0778
如果你愿意,claude-opus-4-7,control_casual,2,54,0.0370
如果你愿意,claude-opus-4-7,control_technical,0,72,0.0000
如果你愿意,claude-opus-4-7,creative,23,135,0.1704
如果你愿意,claude-opus-4-7,disagreement,1,90,0.0111
如果你愿意,claude-opus-4-7,emotional_comfort,7,90,0.0778
如果你愿意,claude-opus-4-7,meaning_existential,3,72,0.0417
如果你愿意,claude-opus-4-7,procrastination,1,72,0.0139
如果你愿意,claude-opus-4-7,refusal,21,99,0.2121
如果你愿意,claude-opus-4-7,relationships,2,90,0.0222
如果你愿意,claude-opus-4-7,self_doubt,2,90,0.0222
如果你愿意,claude-opus-4-7,summarization,6,135,0.0444
如果你愿意,claude-opus-4-7,tech_deliberation,4,135,0.0296
如果你愿意,claude-opus-4-7,work_study,6,90,0.0667
